"Gene_ID	Control001	Control003	Control004	Control005	Control006	Control007	Control008	Convalescent001	Convalescent002	Convalescent003	Convalescent004	Convalescent005	LongCOVID001	LongCOVID002	LongCOVID003	LongCOVID004	LongCOVID005	LongCOVID006	LongCOVID007	LongCOVID008	LongCOVID009	LongCOVID010	LongCOVID011"
"Group	Control	Control	Control	Control	Control	Control	Control	Convalescent	Convalescent	Convalescent	Convalescent	Convalescent	LongCovid	LongCovid_BrainFog	LongCovid	LongCovid	LongCovid	LongCovid	LongCovid	LongCovid_BrainFog	LongCovid_BrainFog	LongCovid_BrainFog	LongCovid_BrainFog"
"ENSG00000002745	2.17576	1.39693	1.92133	2.47927	2.49217	0	1.26946	3.42053	3.39242	2.7629	3.1717	2.2035	1.7457	2.06904	2.3272	3.01259	2.78892	2.58178	2.28627	2.09595	0.660551	2.5644	0"
"ENSG00000002746	0	0	0	0	1.32066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0"
"ENSG00000002822	7.50317	7.42922	7.70499	7.0619	7.36689	7.53813	7.62955	7.35176	7.49108	7.64081	7.11163	7.46512	7.48562	7.03583	7.60023	7.46331	7.55011	7.27898	7.37915	7.64738	7.11911	7.68898	7.15066"
"ENSG00000002834	6.95087	7.33855	7.09151	7.31707	7.33502	6.98741	6.84721	7.23633	6.77486	7.12996	7.07565	7.09018	7.17988	7.18685	7.27325	7.18261	7.24261	7.25149	7.05429	6.9577	7.04235	6.91022	6.85466"
"ENSG00000002919	7.01931	7.18072	6.95358	7.15842	7.36757	6.40714	6.18459	7.34887	6.88048	6.97287	7.26143	7.09434	7.09586	6.49643	7.1005	7.06741	6.99849	7.27148	7.11911	6.78536	6.82598	6.93312	6.82487"
"ENSG00000002933	7.00771	3.74336	5.5295	6.29037	5.65333	6.71291	4.58804	5.08864	6.42836	6.81711	4.83768	7.31751	5.07001	5.17131	6.79951	3.97703	4.99684	4.52511	4.55902	4.02484	6.51408	4.72375	7.09586"
"ENSG00000003056	8.75131	8.47579	8.55692	8.85724	8.74745	7.9113	8.00084	8.84647	7.80405	8.75131	8.78339	8.68002	8.55994	8.49454	8.69201	8.66657	8.75131	8.75513	8.42949	8.62275	8.02864	8.46966	7.59705"
"ENSG00000003096	2.80509	2.50483	2.59751	3.10555	3.39285	2.42265	2.38458	2.68417	0	3.03228	0.693147	3.20777	1.54689	1.94056	2.06755	2.28132	2.19498	2.77112	1.98608	1.12075	2.07063	2.71093	2.50895"
"ENSG00000003137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.631116	0	0	0	0"
"ENSG00000003147	3.97312	4.74299	4.0608	4.333	4.17818	4.11743	3.92836	4.03329	3.60225	4.18108	4.27468	4.21865	4.5243	3.71437	3.74552	4.11813	4.16219	3.52423	4.05475	4.24792	4.16611	4.03365	3.75224"
"ENSG00000003249	5.53235	5.50621	5.52212	4.42556	5.31258	4.59855	4.63784	4.87624	6.07925	4.15421	5.46159	5.68033	5.04477	4.21409	5.94691	4.90511	5.31258	4.53958	5.50399	6.16912	4.26357	5.48468	2.49274"
"ENSG00000003393	4.74374	4.4806	4.53148	4.72696	4.89664	5.21314	5.18771	4.91218	4.46624	4.94895	4.60266	4.63705	4.49542	4.48704	4.91739	4.35729	4.86383	4.87745	4.34091	4.58276	4.57193	4.50387	4.57193"
"ENSG00000003400	5.9094	5.7202	5.85831	6.06439	6.20204	5.61575	5.57917	6.31919	5.49496	5.68735	5.74103	5.95461	5.88839	6.0429	5.99152	5.8106	6.13493	6.05524	5.67433	5.60252	5.26937	5.67089	5.15633"
"ENSG00000003402	7.65794	7.83292	7.64967	7.93116	7.78417	7.71045	7.74202	7.81079	7.51246	7.82711	7.83435	7.77639	7.92058	8.07418	7.77309	7.73882	7.61087	7.82946	7.74373	7.92058	7.60407	8.00084	7.7857"
"ENSG00000003436	2.38458	1.81908	2.65277	3.37311	2.93309	1.93029	3.384	3.6845	4.60553	4.07131	4.44283	3.52874	3.79498	2.93428	3.44231	2.73156	3.57274	2.86613	4.05376	3.92134	2.15212	2.15078	3.75158"
"ENSG00000003509	5.00416	4.59711	4.96353	5.35891	4.93603	5.21941	4.91189	5.4575	5.08283	5.13513	5.22184	5.39205	5.08173	5.24096	5.09582	5.04915	5.12699	5.22676	5.36701	5.20598	4.77805	4.90456	4.92275"
